Welcometo,Welcome to
ConfirmPassword,Confirm Password
SecretQuestionLabel,SecretQuestionLabel
SecretQuestionDescriptionLabel,SecretQuestionDescriptionLabel
Passwordmustmatch,Password must match
AnswerTextBox,AnswerTextBox
QuestionPicker,QuestionPicker
Selectsecretque,Select a secret question
CancelBtn,CancelButton
NxtLvlRegistration,NxtLvl Registration
RegisterButton,RegisterButton
LastNameTextBox,LastNameTextBox
NewPassword,New Password
Answer,Answer
DetailTermsLinkL,DetailTermsLink
T&C,Terms & Conditions
ResendOTPBtn,ResendOTPButton
OTP,OTP
SimcardNum, SIM Card Number
MessageTEXT,Message
TextMessageTextBox,TextMessageTextBox
SendSmsBtn,SendSmsButton
ScheduleSMS,Schedule your SMS?
ScheduleSmsSwitchBtn,ScheduleSmsSwitchButton
TimePickar,TimePicker
devicesavailable,devices available
Scrollviewmore,Scroll to view more
Filterbtn,Filter
RelativeLayoutcls,RelativeLayout
title,title
Packagedetails,Package details
Airtimetext,Airtime
MBtext,MB
Specificationsbtn,Specifications
RadioBtn,RadioButton
GetDeal,Get This Deal
Placeorder,Place your order
FirstNameShopping,*First Name
LastNameShopping,*Last Name
AlternativeCellphoneNum,Alternative Cellphone Number
CellphoneNumShopping,*Cellphone Number
IdentificationtypeShopping,*Identification type
Emailshopping,*Email
Filteryoursearch,Filter your search
pricerange,Set a price range
Selectmanufacturer,Select a manufacturer
Appleph,Apple
ApplyFilters,Apply Filters
ResetFilters,Reset Filters
Huaweiph,Huawei
Samsungph,Samsung
SonyXperia,Sony Xperia
BuyMoreBtn,BuyMoreButton
Myairtimebal,My airtime balance is
OnceOffBalPanel,OnceOffBalancePanel
Onceoffbalances,Once-off balances
Recurringbal,Recurring balances
Restrictedbal,Restricted balances
Onceoffrestrictedbal,Once-off restricted balances
Recurringrestrictedbal,Recurring restricted balances
Linkednumbers,Linked numbers
Databundle,Data bundle
LinkedNumbersListnum,LinkedNumbersList
SelectBundleType,Select a Bundle Type
AirtimeAmounttxt,AirtimeAmount
SMSbundletxt,SMS bundle
BundleType,BundleType
OnceoffSMSbundletxt,Once-off SMS bundle
SelectSMSbundlesize,Select the SMS bundle size
Airtimebalances,Airtime balances
MMSbundle,MMS bundle
BundleSize,BundleSize
OnceOffMMSbundle,Once-off MMS bundle
GConnectWifibundle,G-Connect Wifi bundle
OnceoffGConnectWifibundle,Once-off G-Connect Wifi bundle
MonthlyrecurringMMSbundle,Monthly recurring MMS bundle
HowmuchAirtime,How much Airtime?
My5,My 5,
OnceoffMy5,Once-off My 5
Voicebalancesbtn,Voice balances button
TestTxt,Test
Tryagain,Try again
OtpTextBox,OtpTextBox
BackBtnIcon,BackButton
NxtLvlRegistration,NxtLvl Registration
PleaseenterOneTimePIN,Please enter the One-Time PIN
RechargeLabel,RechargeLabel
RechargePINnumber,Recharge PIN number
EnterVodacomPrepaidnumber,Enter Vodacom Prepaid number
PinTextBox,PinTextBox
RechargeBtn,RechargeButton
BuyBtn,BuyButton
ConfirmRecharge,Confirm Recharge
AllStores,All Stores
FindyournearestVodacomOutlet,Find your nearest Vodacom Outlet
SearchTextBox,SearchTextBox
SearchBtnIcon,SearchButtonIcon
Chatz,Chatz
RepairCentre,Repair Centre
Vodacom4U,Vodacom 4U
VodacomApprovedDealer,Vodacom Approved Dealer
VodacomExpress,Vodacom Express
VodacomShop,Vodacom Shop
VodacomPartnerRewards,Vodacom Partner Rewards
Forceexception,Force exception
MonthlyrecurringSMSbundle,Monthly recurring SMS bundle
OK,OK
BackToLogin,BackToLogin
MyBill,My Bill
SearchTextBoxID,SearchTextBoxID
SearchButtonIconID,SearchButtonIconID
BuyBundles,Buy Bundles
